"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2B4WBZ2D","bookSection","2009","Robledo-Arnuncio, Juan José; de Navascués, Miguel; González-Martínez, Santiago C.; Gil, Luis","Introgresión genética en las poblaciones relictas de <i>Pinus sylvestris</i> L. var. <i>nevadensis</i> del Parque Nacional de Sierra Nevada","Proyectos de Investigación en Parques Nacionales: 2005-2008","","","","http://www.marm.es/es/ministerio/organizacion/organismos-publicos/organismo-autonomo-parques-nacionales-oapn/prog-inv-pn/oapn_inv_artic05.aspx","","2009","2011-11-16 12:21:43","2025-10-31 19:52:55","","97-105","","","","","","","","","","","Organismo Autónomo Parques Nacionales","Madrid","","All rights reserved","","","","","","","","/home/navascue/Work/Bibliography/zotero.db/storage/YXGYWI53/Robledo-Arnuncio et al. - 2009 - Introgresión genética en las poblaciones relictas .pdf","","gene flow; genetic introgression; long distance pollen and seed dispersal; maximum likelihood; recent migration","","Ramírez, L.; Asensio, B.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HB4GIJ86","conferencePaper","2006","de Navascués, Miguel; Emerson, Brent C.","Diversidad y flujo genético en plantaciones de <i>Pinus canariensis</i>","IV Jornadas Forestales de la Macaronesia","","","","https://hal.inrae.fr/hal-02755419","","2006-06-07","2013-07-08 12:19:58","2025-11-01 20:56:22","","","","","","","","","","","","","Gobierno de Canarias, Governo dos Açores, Arena","Breña Baja, La Palma (Spain)","es","","","","","hal.inrae.fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Congreso de los Recursos Forestales","","","","","","","","","","","","","","",""
"PARASEPD","journalArticle","2014","de Navascués, Miguel; Legrand, Delphine; Campagne, Cécile; Cariou, Marie-Louise; Depaulis, Frantz","Distinguishing migration from isolation using genes with intragenic recombination: detecting introgression in the <i>Drosophila simulans</i> species complex","BMC Evolutionary Biology","","1471-2148","10.1186/1471-2148-14-89","http://www.biomedcentral.com/1471-2148/14/89/abstract","Determining the presence or absence of gene flow between populations is the target of some statistical methods in population genetics. Until recently, these methods either avoided the use of recombining genes, or treated recombination as a nuisance parameter. However, genes with recombination contribute additional information for the detection of gene flow (i.e. through linkage disequilibrium). PMID: 24762206","2014-04-24","2014-05-27 12:05:19","2025-10-31 20:43:27","2014-05-27 12:05:19","89","","1","14","","","Distinguishing migration from isolation using genes with intragenic recombination","","","","","","","en","2014 Navascués et al.; licensee BioMed Central Ltd.","","","","www.biomedcentral.com","","GoogleScholar: sbeIDTyQOFgC","","/home/navascue/Work/Bibliography/zotero.db/storage/5AD4N6KC/Navascués et al. - 2014 - Distinguishing migration from isolation using gene.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZVUTJ8TG","thesis","2014","Becheler, Arnaud; de Navascués, Miguel; Vitalis, Renaud","Limites des genome-scans pour la détection de locus sous sélection chez les espèces autogames : une étude par simulation","","","","","","A population of Medicago truncatula shows an advancement in phenology: we look for recent selection footprints in the genome of this selfing plant. Methods based on the analysis of temporal changes in allele frequencies have been developed to detect selection. These methods have a number of strong assumptions: random mating , independent locus, etc. Their application can be problematic because selfing reduces the effective population size (Ne ) increases linkage disequilibrium between markers and therefore promotes genetic hitchhiking. We studied one of these methods (Goldringer and Bataillon, 2004) , based on inference from the effective size from a measure of standardized variance of allele frequencies between two time samples (FC). We proposed a new multi- locus estimator FC, and we evaluated the statistical performance of the method through simulations. We also compared with an alternative method , based on a measure of the fixation index Wright (FST). We characterized the power of the method as a function of the intensity of the selection, inbreeding level, effective population size. We suggest to use the method based on measuring FC, less biased than the FST based. The power of the method is greatly reduced by selfing, and we do not recommend using it for selfing coefficients above 75%.","2014","2014-09-07 08:40:36","2025-11-01 12:22:39","","","","","","","","","","","","","Université Montpellier 2","Montpellier (France)","French","","MSc thesis","","","","","","","/home/navascue/Work/Bibliography/zotero.db/storage/TTLSE62C/Becheler - 2014 - Limites des genome-scans pour la détection de locu.pdf","","","","","","","de Navascués, Miguel; Vitalis, Renaud","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95STNGKE","journalArticle","2010","de Navascués, Miguel; Stoeckel, Solenn; Mariette, Stéphanie","Genetic diversity and fitness in small populations of partially asexual, self-incompatible plants","Heredity","","","10.1038/hdy.2009.159","http://dx.doi.org/10.1038/hdy.2009.159","How self-incompatibility systems are maintained in plant populations is still a debated issue. Theoretical models predict that self-incompatibility systems break down according to the intensity of inbreeding depression and number of S-alleles. Other studies have explored the function of asexual reproduction in the maintenance of self-incompatibility. However, the population genetics of partially asexual, self-incompatible populations are poorly understood and previous studies have failed to consider all possible effects of asexual reproduction or could only speculate on those effects. In this study, we investigated how partial asexuality may affect genetic diversity at the S-locus and fitness in small self-incompatible populations. A genetic model including an S-locus and a viability locus was developed to perform forward simulations of the evolution of populations of various sizes. Drift combined with partial asexuality produced a decrease in the number of alleles at the S-locus. In addition, an excess of heterozygotes was present in the population, causing an increase in mutation load. This heterozygote excess was enhanced by the self-incompatibility system in small populations. In addition, in highly asexual populations, individuals produced asexually had some fitness advantages over individuals produced sexually, because sexual reproduction produces homozygotes of the deleterious allele, contrary to asexual reproduction. Our results suggest that future research on the function of asexuality for the maintenance of self-incompatibility will need to (1) account for whole-genome fitness (mutation load generated by asexuality, self-incompatibility and drift) and (2) acknowledge that the maintenance of self-incompatibility may not be independent of the maintenance of sex itself.","2010","2008-12-05 19:24:58","2025-10-31 20:43:52","","482–492","","5","104","","","","","","","","","","","","","","","","","GoogleScholar: qjMakFHDy7sC","","/home/navascue/Work/Bibliography/zotero.db/storage/5WK39LAQ/Navascués et al. - 2010 - Genetic diversity and fitness in small populations.pdf","","asexual reproduction; inbreeding depression; linkage disequilibrium; mutation load; number of S-alleles; self-incompatibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9DQHKSNJ","journalArticle","2007","Burgarella, Concetta; de Navascués, Miguel; Soto, Álvaro; Lora, Ángel; Fici, Silvio","Narrow genetic base in forest restoration with holm oak (<i>Quercus ilex</i> L.) in Sicily","Annals of Forest Sciences","","","10.1051/forest:2007055","http://dx.doi.org/10.1051/forest:2007055","In order to empirically assess the effect of actual seed sampling strategy on genetic diversity of holm oak (Quercus ilex) forestations in Sicily, we have analysed the genetic composition of two seedling lots (nursery stock and plantation) and their known natural seed origin stand by means of six nuclear microsatellite loci. Significant reduction in genetic diversity and significant difference in genetic composition of the seedling lots compared to the seed origin stand were detected. The female and the total effective number of parents were quantified by means of maternity assignment of seedlings and temporal changes in allele frequencies. Extremely low effective maternity numbers were estimated (Nfe $\approx$ 2-4) and estimates accounting for both seed and pollen donors gave also low values (Ne $\approx$ 35-50). These values can be explained by an inappropriate forestry seed harvest strategy limited to a small number of spatially close trees.","2007","2008-07-07 18:43:50","2025-10-31 20:44:19","","757–763","","7","64","","Ann. For. Sci.","","","","","","","","","All rights reserved","","","","","","GoogleScholar: IjCSPb-OGe4C","","/home/navascue/Work/Bibliography/zotero.db/storage/VQ56APG7/Burgarella et al. - 2007 - Narrow genetic base in forest restoration with hol.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DGED5P9X","journalArticle","2013","Besnard, G.; Khadari, B.; de Navascués, Miguel; Fernández-Mazuecos, M.; Bakkali, A. El; Arrigo, N.; Baali-Cherif, D.; Caraffa, V. Brunini-Bronzini de; Santoni, S.; Vargas, P.; Savolainen, V.","The complex history of the olive tree: from Late Quaternary diversification of Mediterranean lineages to primary domestication in the northern Levant","Proceedings of the Royal Society B: Biological Sciences","","0962-8452, 1471-2954","10.1098/rspb.2012.2833","http://rspb.royalsocietypublishing.org/content/280/1756/20122833","The location and timing of domestication of the olive tree, a key crop in Early Mediterranean societies, remain hotly debated. Here, we unravel the history of wild olives (oleasters), and then infer the primary origins of the domesticated olive. Phylogeography and Bayesian molecular dating analyses based on plastid genome profiling of 1263 oleasters and 534 cultivated genotypes reveal three main lineages of pre-Quaternary origin. Regional hotspots of plastid diversity, species distribution modelling and macrofossils support the existence of three long-term refugia; namely the Near East (including Cyprus), the Aegean area and the Strait of Gibraltar. These ancestral wild gene pools have provided the essential foundations for cultivated olive breeding. Comparison of the geographical pattern of plastid diversity between wild and cultivated olives indicates the cradle of first domestication in the northern Levant followed by dispersals across the Mediterranean basin in parallel with the expansion of civilizations and human exchanges in this part of the world.","2013-07-04","2013-07-09 10:19:23","2025-10-31 20:43:33","2013-07-09 10:19:23","","","1756","280","","Proc. R. Soc. B","The complex history of the olive tree","","","","","","","en","All rights reserved","","","","rspb.royalsocietypublishing.org","","GoogleScholar: Se3iqnhoufwC","","/home/navascue/Work/Bibliography/zotero.db/storage/ZSDX28RF/Besnard et al. - 2013 - The complex history of the olive tree from Late Q.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E9E45CB4","thesis","2005","de Navascués, Miguel; Emerson, Brent C.","Genetic diversity of the endemic Canary Island pine tree, <i>Pinus canariensis</i>","","","","","http://tel.archives-ouvertes.fr/tel-00250082/en/","","2005","2008-07-09 16:52:56","2025-11-01 12:22:28","","","","","","","","","","","","","University of East Anglia","Norwich (UK)","","","PhD thesis","","","","","School: School of Biological Sciences; DOI: 10.6084/m9.figshare.1108027.v1","","/home/navascue/Work/Bibliography/zotero.db/storage/JXRWUKZ2/Navascués - 2005 - Genetic diversity of the endemic Canary Island pin.pdf","","","","","","","Emerson, Brent C.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCRT7P42","journalArticle","2006","de Navascués, Miguel; Vaxevanidou, Zafeiro; González-Martínez, Santiago C.; Climent, José; Gil, Luis; Emerson, Brent C.","Chloroplast microsatellites reveal colonization and metapopulation dynamics in the Canary Island pine","Molecular Ecology","","","10.1111/j.1365-294X.2006.02960.x","http://dx.doi.org/10.1111/j.1365-294X.2006.02960.x","Chloroplast microsatellites are becoming increasingly popular markers for population genetic studies in plants, but there has been little focus on their potential for demographic inference. In this work the utility of chloroplast microsatellites for the study of population expansions was explored. First, we investigated the power of mismatch distribution analysis and the FS test with coalescent simulations of different demographic scenarios. We then applied these methods to empirical data obtained for the Canary Island pine (Pinus canariensis). The results of the simulations showed that chloroplast microsatellites are sensitive to sudden population growth. The power of the FS test and accuracy of demographic parameter estimates, such as the time of expansion, were reduced proportionally to the level of homoplasy within the data. The analysis of Canary Island pine chloroplast microsatellite data indicated population expansions for almost all sample localities. Demographic expansions at the island level can be explained by the colonization of the archipelago by the pine, while population expansions of different ages in different localities within an island could be the result of local extinctions and recolonization dynamics. Comparable mitochondrial DNA sequence data from a parasite of P. canariensis, the weevil Brachyderes rugatus, supports this scenario, suggesting a key role for volcanism in the evolution of pine forest communities in the Canary Islands.","2006-09","2008-07-09 16:52:57","2025-10-31 20:44:22","","2691–2698","","10","15","","","","","","","","","","","","","","","","","GoogleScholar: u-x6o8ySG0sC","","/home/navascue/Work/Bibliography/zotero.db/storage/32D8ZMW2/Navascués et al. - 2006 - Chloroplast microsatellites reveal colonization an.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HT9A7AZU","journalArticle","2005","de Navascués, Miguel; Emerson, Brent C.","Chloroplast microsatellites: measures of genetic diversity and the effect of homoplasy","Molecular Ecology","","","10.1111/j.1365-294X.2005.02504.x","http://dx.doi.org/10.1111/j.1365-294X.2005.02504.x","Chloroplast microsatellites have been widely used in population genetic studies of conifers in recent years. However, their haplotype configurations suggest that they could have high levels of homoplasy, thus limiting the power of these molecular markers. A coalescent-based computer simulation was used to explore the influence of homoplasy on measures of genetic diversity based on chloroplast microsatellites. The conditions of the simulation were defined to fit isolated populations originating from the colonization of one single haplotype into an area left available after a glacial retreat. Simulated data were compared with empirical data available from the literature for a species of Pinus that has expanded north after the Last Glacial Maximum. In the evaluation of genetic diversity, homoplasy was found to have little influence on Nei's unbiased haplotype diversity (He) while Goldstein's genetic distance estimates (D2sh) were much more affected. The effect of the number of chloroplast microsatellite loci for evaluation of genetic diversity is also discussed.","2005-04","2008-07-09 16:52:57","2025-10-31 20:44:27","","1333–1341","","5","14","","","","","","","","","","","","","","","","","GoogleScholar: u5HHmVD_uO8C","","/home/navascue/Work/Bibliography/zotero.db/storage/DH5LCJVQ/Navascués and Emerson - 2005 - Chloroplast microsatellites measures of genetic d.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
